Examp_TCR_2014	Examp_TCR_2015	Examp_TCR_2017	Examp_TCR_clones
6651437	15787967	0	7479801
22404840	0	0	7468280
16745284	4417359	1226895	7463179
12194301	5398994	4784892	7459396
11085728	9816352	1472275	7458118
19545889	0	2821860	7455916
15811749	3353920	3189928	7451866
7993393	4171950	10183232	7449525
15753403	2781300	3803376	7446026
0	0	22329497	7443166
11202420	7444067	3680686	7442391
7176550	4826373	10305922	7436282
0	6953250	15336193	7429814
0	2535891	19753017	7429636
9685426	10879791	1717654	7427623
7468280	9161929	5643719	7424643
13419566	4908176	3926065	7417936
3150681	8180294	10919369	7416781
11610842	2290482	8342889	7414738
3792486	10961594	7484062	7412714
22229802	0	0	7409934
14644830	6298826	1226895	7390184
8343469	3762935	10060543	7388982
11027382	7198658	3926065	7384035
7293242	12761258	2085722	7380074
15344982	3599329	3189928	7378080
0	10716185	11410128	7375437
7760010	13497485	858827	7372107
3150681	12924864	6011788	7362444
1225265	0	20857222	7360829
6826475	6053417	9201716	7360536
1341957	2699497	18035363	7358939
16570246	2045073	3435307	7350209
7059858	0	14968124	7342661
14528138	5644403	1840343	7337628
14528138	4908176	2576480	7337598
5892940	8507505	7606752	7335732
3559102	10225367	8220199	7334890
12252647	8016688	1717654	7328996
6884821	10307170	4784892	7325628
9977155	5726206	6257167	7320176
5017751	10307170	6625235	7316719
4317599	12843061	4784892	7315184
4434291	8916520	8588268	7313026
21938073	0	0	7312691
21938073	0	0	7312691
1225265	12106835	8588268	7306789
9685426	6707841	5521029	7304765
6943167	13742893	1226895	7304318
16920322	4008344	981516	7303394
12077609	7689476	2085722	7284269
10152193	3108512	8588268	7282991
15053252	6789644	0	7280965
0	8098491	13741229	7279907
0	0	21838739	7279580
11844225	9979958	0	7274728
11552496	4744570	5521029	7272698
11552496	2781300	7484062	7272619
3967524	10470776	7361373	7266557
16686938	3108512	1963033	7252827
8576853	6298826	6870614	7248764
15928441	2863103	2944549	7245364
4609329	8016688	9079026	7235014
7468280	1472453	12759713	7233482
3267373	16687799	1717654	7224275
17212052	2617694	1840343	7223363
6768129	6544235	8342889	7218418
8110085	6053417	7484062	7215855
8518507	6626038	6502546	7215697
5076097	3435723	13127781	7213200
7293242	7934885	6379856	7202661
11085728	6217023	4294134	7198962
9160312	2126876	10305922	7197703
14761522	4744570	2085722	7197272
7468280	7607673	6502546	7192833
19487543	736226	1349585	7191118
10152193	3681132	7729441	7187589
20071003	0	1472275	7181092
6651437	5562600	9324405	7179481
21529651	0	0	7176550
12077609	3681132	5766409	7175050
11902571	6544235	3067239	7171348
7935048	5235388	8342889	7171108
7234896	8752914	5521029	7169613
11610842	5480797	4416824	7169487
2392183	8180294	10919369	7163949
18787392	2208679	490758	7162276
13944679	4090147	3435307	7156711
11610842	5071782	4784892	7155839
16336863	3517526	1594964	7149784
14819868	1227044	5398340	7148417
8168431	7116855	6134477	7139921
5542864	8752914	7115994	7137257
5542864	1390650	14477366	7136960
8693545	6298826	6379856	7124076
4901059	5889811	10551301	7114057
5659556	4008344	11655507	7107802
7293242	8262097	5766409	7107249
10268885	4908176	6134477	7103846
0	12597652	8710958	7102870
6126323	10470776	4662203	7086434
5134443	11943229	4171444	7083039
9510388	5971614	5766409	7082804
21237921	0	0	7079307
19020776	0	2208412	7076396
5601210	12188638	3435307	7075052
17737165	1145241	2331101	7071169
6243015	3681132	11287438	7070528
12369339	7444067	1349585	7054330
9277004	4253753	7606752	7045836
2158800	9652747	9324405	7045317
7876702	10797988	2453791	7042827
5892940	8589308	6625235	7035828
6126323	5644403	9324405	7031710
9802118	4908176	6379856	7030050
8693545	8916520	3435307	7015124
3734140	10307170	6993304	7011538
5076097	6380629	9569784	7008837
5017751	8752914	7238683	7003116
13244528	3681132	4048755	6991472
4609329	8507505	7852131	6989655
10618961	8262097	2085722	6988926
11027382	5398994	4539513	6988630
7993393	1063438	11900886	6985906
9393696	6626038	4907582	6975772
11669188	6544235	2699170	6970864
12602723	1063438	7238683	6968281
13011144	4826373	3067239	6968252
0	1881468	19016879	6966116
4609329	7934885	8342889	6962368
7059858	7444067	6379856	6961261
14936560	3353920	2576480	6955654
3850832	5726206	11287438	6954825
2333838	11534214	6993304	6953785
0	0	20857222	6952407
7643318	11861426	1349585	6951443
9277004	2617694	8956337	6950345
6534745	5971614	8342889	6949749
12952798	4335556	3557997	6948784
12194301	2617694	6011788	6941261
11085728	6053417	3680686	6939944
1633686	3353920	15826951	6938186
4550983	4826373	11410128	6929161
15461673	1145241	4171444	6926120
20771154	0	0	6923718
1166919	10143564	9447095	6919193
6768129	3926541	10060543	6918404
15461673	3681132	1594964	6912590
0	7607673	13127781	6911818
0	0	20734533	6911511
11202420	2535891	6993304	6910538
5426172	12106835	3189928	6907645
20712808	0	0	6904269
7293242	8016688	5398340	6902757
9218658	2126876	9324405	6889980
2567221	7525870	10551301	6881464
11669188	3435723	5521029	6875313
13711295	2863103	4048755	6874384
3442410	4908176	12268954	6873180
0	0	20611843	6870614
12894452	1063438	6625235	6861042
17678819	1799665	1104206	6860897
7409934	9979958	3189928	6859940
7526626	4090147	8956337	6857703
0	9407338	11164748	6857362
3675794	9161929	7729441	6855721
4901059	818029	14845435	6854841
8985274	9979958	1594964	6853399
13827987	3026709	3680686	6845127
816843	4744570	14968124	6843179
8868583	3681132	7974820	6841512
5717902	8180294	6625235	6841144
11319112	2699497	6502546	6840385
7876702	4908176	7729441	6838106
7643318	7198658	5643719	6828565
20421078	0	0	6807026
4142562	12843061	3435307	6806977
14528138	3681132	2208412	6805894
14994906	2208679	3189928	6797838
7993393	6871447	5521029	6795290
4025870	8998323	7361373	6795188
6009632	7607673	6747925	6788410
9393696	4580964	6379856	6784839
11027382	736226	8588268	6783959
6476399	9080126	4784892	6780472
11377458	6380629	2576480	6778189
7526626	5562600	7238683	6775970
1750378	7280461	11287438	6772759
12544377	6298826	1472275	6771826
2683913	11616017	6011788	6770573
6768129	7771279	5766409	6768605
5659556	6544235	8097510	6767100
10035501	3762935	6502546	6766994
9160312	4253753	6870614	6761560
3675794	5808009	10796680	6760161
11319112	2454088	6502546	6758582
14644830	2535891	3067239	6749320
20246040	0	0	6748680
0	0	20243775	6747925
8051739	5071782	7115994	6746505
8868583	7444067	3926065	6746238
7468280	6871447	5889098	6742942
0	6462432	13741229	6734554
9568734	6217023	4416824	6734194
14586484	2290482	3312618	6729861
7584972	2781300	9815163	6727145
9218658	2372285	8588268	6726404
11377458	4989979	3803376	6723604
3033989	8425702	8710958	6723550
5192788	13742893	1226895	6720859
7643318	8343900	4171444	6719554
12135955	2208679	5766409	6703681
12252647	4417359	3435307	6701771
6768129	7934885	5398340	6700451
5251134	6135220	8710958	6699104
2508875	2617694	14968124	6698231
18554008	1472453	0	6675487
10152193	6789644	3067239	6669692
3559102	2208679	14231987	6666590
11202420	2045073	6747925	6665139
4434291	13333879	2208412	6658861
6476399	8343900	5152961	6657753
7293242	4826373	7852131	6657249
2917297	3190315	13863918	6657177
0	5971614	13986608	6652741
12836106	0	7115994	6650700
7176550	2208679	10551301	6645510
12369339	5971614	1594964	6645306
10443923	3108512	6379856	6644097
0	15378952	4539513	6639488
4784367	8752914	6379856	6639046
6418053	4908176	8588268	6638166
3675794	7280461	8956337	6637531
7760010	2208679	9937853	6635514
18904084	0	981516	6628533
1925416	17342223	613448	6627029
6709783	2126876	11042059	6626239
0	19878114	0	6626038
0	17178617	2699170	6625929
4609329	5562600	9692474	6621468
7118204	5971614	6747925	6612581
5134443	4989979	9692474	6605632
5951286	4417359	9447095	6605246
10443923	3599329	5766409	6603220
4550983	8998323	6257167	6602158
3442410	6544235	9815163	6600603
12194301	4662767	2944549	6600539
12602723	3762935	3435307	6600322
9452042	9489141	858827	6600003
19779273	0	0	6593091
15928441	2617694	1226895	6591010
11844225	4335556	3557997	6579259
3909178	5889811	9937853	6578947
1283611	10716185	7729441	6576412
19720927	0	0	6573642
11785879	3517526	4416824	6573410
8751891	7525870	3435307	6571023
11610842	0	8097510	6569450
2917297	6707841	10060543	6561893
9335350	3599329	6747925	6560868
14644830	0	5030271	6558367
19662581	0	0	6554194
3559102	8098491	7974820	6544138
4375945	8016688	7238683	6543772
0	5644403	13986608	6543670
0	4662767	14968124	6543631
0	0	19630327	6543442
9101966	7444067	3067239	6537757
700151	11779623	7115994	6531923
10677307	4989979	3926065	6531117
2858951	7525870	9201716	6528846
2392183	12270441	4907582	6523402
9452042	4826373	5275650	6518022
5892940	4826373	8833647	6517653
0	5317191	14231987	6516393
15928441	3599329	0	6509257
4142562	4580964	10796680	6506735
6301361	4989979	8220199	6503847
2042108	8998323	8465579	6502003
4901059	4662767	9937853	6500560
10093847	5480797	3926065	6500236
6243015	3190315	10060543	6497957
3092335	9161929	7238683	6497649
4842713	2863103	11778196	6494671
14411447	5071782	0	6494410
0	7444067	12023575	6489214
9160312	1717862	8588268	6488814
4084216	654423	14722745	6487128
8693545	5235388	5521029	6483321
5076097	0	14354677	6476924
2800605	6298826	10305922	6468451
12602723	3844738	2944549	6464003
14236409	2208679	2944549	6463212
0	10307170	9079026	6462065
14353101	1227044	3803376	6461174
4901059	14479120	0	6460060
9101966	6707841	3557997	6455935
5367826	11534214	2453791	6451944
9860463	4580964	4907582	6449670
11494150	3190315	4662203	6448889
10910690	7444067	981516	6445425
3442410	4580964	11287438	6436938
0	11697820	7606752	6434857
0	6789644	12514333	6434659
7584972	7280461	4416824	6427419
10560615	0	8710958	6423857
0	10797988	8465579	6421189
8985274	5726206	4539513	6416998
5659556	3026709	10551301	6412522
4084216	8507505	6625235	6405652
14178063	2208679	2821860	6402867
17153706	1063438	981516	6399553
19195813	0	0	6398604
6709783	6217023	6257167	6394658
6709783	4008344	8465579	6394568
0	9979958	9201716	6393891
2450529	9734549	6993304	6392794
1341957	15869770	1963033	6391586
10852344	5971614	2331101	6385020
7293242	10879791	981516	6384850
7818356	8752914	2576480	6382583
0	9570944	9569784	6380243
0	0	19139569	6379856
19137468	0	0	6379156
10093847	2045073	6993304	6377408
10618961	1390650	7115994	6375201
14819868	2944906	1349585	6371453
8518507	6298826	4294134	6370489
18495662	0	613448	6369703
11902571	2290482	4907582	6366878
16686938	818029	1594964	6366644
8401815	6871447	3803376	6358879
3734140	11534214	3803376	6357243
0	6789644	12268954	6352866
5192788	7116855	6747925	6352523
4609329	2045073	12391644	6348682
2683913	16360587	0	6348167
11144074	7280461	613448	6345994
13594603	1390650	4048755	6344669
11902571	7116855	0	6339809
3967524	13579287	1472275	6339695
12719414	6298826	0	6339414
12427685	2781300	3803376	6337453
10327231	5480797	3189928	6332652
2800605	11779623	4416824	6332350
0	3272117	15704262	6325460
3267373	12025032	3680686	6324364
8051739	0	10919369	6323703
18145587	818029	0	6321205
11960917	981635	6011788	6318113
4142562	11861426	2944549	6316179
0	7280461	11655507	6311989
6126323	5317191	7484062	6309192
2158800	6217023	10551301	6309041
6593091	11207002	1104206	6301433
11377458	2617694	4907582	6300911
4375945	3190315	11287438	6284566
8051739	981635	9815163	6282846
18845738	0	0	6281913
5717902	0	13127781	6281894
4609329	1963270	12268954	6280518
3033989	3272117	12514333	6273480
8460161	7035053	3312618	6269277
5717902	4744570	8342889	6268454
18787392	0	0	6262464
9918809	3435723	5398340	6250958
2975643	8262097	7484062	6240601
2275492	9325535	7115994	6239007
7993393	3844738	6870614	6236249
8810237	6298826	3557997	6222353
4259253	7771279	6625235	6218589
9568734	0	9079026	6215920
16803630	0	1840343	6214658
14469793	981635	3189928	6213785
5017751	7853082	5766409	6212414
7876702	8180294	2576480	6211159
5659556	4008344	8956337	6208079
17270398	0	1349585	6206661
2042108	4662767	11900886	6201920
10910690	6462432	1226895	6200006
9101966	2126876	7361373	6196738
6884821	5071782	6625235	6193946
3734140	9080126	5766409	6193558
1108573	10307170	7115994	6177245
6826475	6298826	5398340	6174547
1458648	6871447	10183232	6171109
3092335	6462432	8956337	6170368
4959405	7771279	5766409	6165697
7818356	9080126	1594964	6164482
11902571	3517526	3067239	6162445
4901059	4744570	8833647	6159759
14294755	4171950	0	6155568
8635199	2699497	7115994	6150230
13536258	3926541	981516	6148105
10502269	3026709	4907582	6145520
11727533	1799665	4907582	6144927
6243015	9979958	2208412	6143795
7876702	6380629	4171444	6142925
10443923	0	7974820	6139581
2917297	2372285	13127781	6139121
8110085	2208679	8097510	6138758
2217146	5644403	10551301	6137616
0	0	18403432	6134477
6943167	2617694	8833647	6131503
7468280	4662767	6257167	6129405
5134443	5398994	7852131	6128522
3617448	12924864	1840343	6127552
18378970	0	0	6126323
2917297	10061761	5398340	6125799
1808724	0	16563088	6123937
9043620	8098491	1226895	6123002
0	9652747	8710958	6121235
11027382	5480797	1840343	6116174
12661068	1636059	4048755	6115294
4726021	5398994	8220199	6115071
2217146	11452411	4662203	6110586
15753403	490818	2085722	6109981
7935048	3026709	7361373	6107710
0	8752914	9569784	6107566
0	4335556	13986608	6107388
9568734	4090147	4662203	6107028
3675794	9489141	5152961	6105965
16570246	0	1717654	6095967
5601210	1881468	10796680	6093119
6534745	4499162	7238683	6090863
6067978	4335556	7852131	6085221
7118204	2535891	8588268	6080788
4434291	6544235	7238683	6072403
16161825	2045073	0	6068966
5251134	12924864	0	6058666
9043620	2617694	6502546	6054620
0	12515849	5643719	6053189
8985274	1799665	7361373	6048771
13361220	0	4784892	6048704
9510388	1145241	7484062	6046564
7993393	7444067	2699170	6045544
875189	8180294	9079026	6044836
8926928	6380629	2821860	6043139
1808724	6871447	9447095	6042422
8168431	3681132	6257167	6035577
9510388	1717862	6870614	6032955
7293242	4417359	6379856	6030152
18087241	0	0	6029080
18087241	0	0	6029080
6593091	4989979	6502546	6028539
0	11943229	6134477	6025902
8693545	2372285	6993304	6019711
8401815	5971614	3680686	6018039
10793998	3435723	3803376	6011033
18028895	0	0	6009632
5134443	4417359	8465579	6005793
2508875	7280461	8220199	6003179
11727533	736226	5521029	5994930
4200908	9489141	4294134	5994727
5134443	8180294	4662203	5992313
17970549	0	0	5990183
10677307	4580964	2699170	5985814
4200908	9080126	4662203	5981079
5134443	9489141	3312618	5978734
7584972	8016688	2331101	5977587
4959405	7444067	5521029	5974834
0	3190315	14722745	5971020
1050227	13170273	3680686	5967062
5834594	5808009	6257167	5966590
1283611	3353920	13250471	5962667
2333838	8425702	7115994	5958511
5659556	4580964	7606752	5949091
5776248	4826373	7238683	5947101
0	12924864	4907582	5944149
4375945	2535891	10919369	5943735
2858951	4171950	10796680	5942527
4492637	10634382	2699170	5942063
17795511	0	0	5931837
4317599	8916520	4539513	5924544
6768129	3026709	7974820	5923219
17153706	0	613448	5922384
11260766	0	6502546	5921104
8110085	5726206	3926065	5920785
11202420	3844738	2699170	5915443
7176550	1963270	8588268	5909363
4317599	6380629	6993304	5897177
14294755	1554256	1840343	5896451
2917297	12679455	2085722	5894158
2217146	7853082	7606752	5892326
0	17669434	0	5889811
0	10061761	7606752	5889504
4784367	12025032	858827	5889408
6009632	9080126	2576480	5888746
6126323	2208679	9324405	5886469
4317599	4499162	8833647	5883469
4667675	6462432	6502546	5877551
7351588	8425702	1840343	5872545
